Name of the Nucleophile,Nucleophile ID Number,Type Of Nucleophile,Solvent,N,sN,EHF,EDFT,ECORR,EHF(HOMO),EDFT(HOMO),ECORR(HOMO),EHF(LUMO),EDFT(LUMO),ECORR(LUMO),cHF,cDFT,cCORR,hHF,hDFT,hCORR,mHF,mDFT,mCORR,wHF,wDFT,wCORR,dHF,dDFT,dCORR,HHF,HDFT,HCORR,GHF,GDFT,GCORR,NBOHF,NBODFT,NBOCORR,Mol.Mass,Surface Area,Volume,Ovality,Diameter,RG,E*DFT,E*HF,E*CORR,E*DFT(HOMO),E*HF(HOMO),E*CORR(HOMO),E*DFT(LUMO),E*HF(LUMO),E*CORR(LUMO),c*DFT,c*HF,c*CORR,h*DFT,h*HF,h*CORR,m*DFT,m*HF,m*CORR,w*DFT,w*HF,w*CORR,d*DFT,d*HF,d*CORR,H*DFT,H*HF,H*CORR,G*DFT,G*HF,G*CORR
3-Bromo-4-(dimethylamino)pyridine ,N92,N-Nucleophile,MeCN,12.960,0.670,-2951.648,-2955.888,-4.240,-0.341,-0.234,0.107,0.108,-0.046,-0.154,0.117,0.140,0.024,0.449,0.188,-0.261,-0.117,-0.140,-0.024,0.015,0.052,0.037,4.359,3.885,-0.474,-1852079.835,-1854747.318,-2667.484,-1852108.435,-1854775.613,-2667.177,-0.548,-0.467,0.081,201.064,209.751,229.337,1.158,8.798,2.223,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
"2,3,5,6-Tetrahydroimidazo[2,1-b]thiazole",N93,N-Nucleophile,Dichloromethane,12.980,0.810,-700.490,-703.132,-2.642,-0.339,-0.226,0.113,0.142,0.002,-0.140,0.099,0.112,0.014,0.481,0.228,-0.253,-0.099,-0.112,-0.014,0.010,0.028,0.017,5.684,5.438,-0.246,-439471.214,-441135.171,-1663.958,-439495.221,-441159.643,-1664.422,-0.655,-0.578,0.077,128.195,172.354,182.882,1.106,8.617,1.864,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
Aniline ,N94,N-Nucleophile,Water,12.990,0.730,-285.808,-287.689,-1.881,-0.300,-0.212,0.088,0.130,-0.011,-0.141,0.085,0.112,0.027,0.430,0.201,-0.229,-0.085,-0.112,-0.027,0.008,0.031,0.023,1.846,2.208,0.362,-179265.323,-180449.869,-1184.545,-179287.472,-180472.360,-1184.888,-0.828,-0.790,0.038,93.126,154.722,156.265,1.103,8.211,1.749,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
Diethanolamine ,N95,N-Nucleophile,Water,13.000,0.610,-362.127,-364.330,-2.203,-0.373,-0.234,0.139,0.162,0.040,-0.122,0.106,0.097,-0.008,0.535,0.274,-0.261,-0.106,-0.097,0.008,0.010,0.017,0.007,2.261,2.162,-0.099,-227125.523,-228515.251,-1389.728,-227151.739,-228542.013,-1390.274,-0.727,-0.693,0.034,105.136,174.549,179.564,1.134,9.195,2.293,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
p-Toluidine ,N96,N-Nucleophile,Water,13.000,0.790,-324.853,-327.015,-2.162,-0.292,-0.206,0.086,0.129,-0.010,-0.139,0.082,0.108,0.027,0.421,0.196,-0.225,-0.082,-0.108,-0.027,0.008,0.030,0.022,1.586,1.814,0.228,-203746.979,-205109.379,-1362.400,-203772.495,-205135.196,-1362.701,-0.830,-0.794,0.036,107.153,177.152,184.326,1.131,9.223,2.026,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
"3,5,6,7-Tetrahydro-2H-imidazo[2,1-b][1,3]thiazine",N97,N-Nucleophile,Dichloromethane,13.000,0.830,-739.535,-742.459,-2.924,-0.332,-0.219,0.113,0.143,0.004,-0.139,0.095,0.108,0.013,0.475,0.223,-0.252,-0.095,-0.108,-0.013,0.009,0.026,0.017,6.119,5.917,-0.202,-463952.698,-465794.349,-1841.651,-463978.394,-465820.565,-1842.171,-0.655,-0.580,0.075,142.222,189.638,208.706,1.115,9.101,2.018,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
Alanine (anionic),N98,N-Nucleophile,Water,13.010,0.580,-321.485,-323.374,-1.889,-0.361,-0.205,0.156,0.169,0.050,-0.119,0.096,0.078,-0.019,0.530,0.255,-0.275,-0.096,-0.078,0.019,0.009,0.012,0.003,7.809,6.687,-1.122,-201667.014,-202856.267,-1189.253,-201690.528,-202879.923,-1189.395,-0.879,-0.886,-0.007,88.085,135.503,131.315,1.085,7.223,1.646,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
Asparagine (anionic),N99,N-Nucleophile,Water,13.030,0.530,-489.328,-492.134,-2.806,-0.365,-0.210,0.155,0.169,0.030,-0.139,0.098,0.090,-0.008,0.534,0.240,-0.294,-0.098,-0.090,0.008,0.009,0.017,0.008,8.842,7.743,-1.099,-306969.150,-308735.762,-1766.612,-306997.802,-308764.545,-1766.743,-0.849,-0.796,0.053,131.110,170.112,175.056,1.124,8.766,2.118,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
"1-Benzyl-2-phenyl-4,5-dihydro-1H-imidazole ",N100,N-Nucleophile,Dichloromethane,13.110,0.830,-724.267,-729.017,-4.750,-0.330,-0.220,0.110,0.108,-0.037,-0.145,0.111,0.129,0.018,0.438,0.183,-0.255,-0.111,-0.129,-0.018,0.014,0.045,0.031,3.081,2.979,-0.102,-454284.732,-457277.144,-2992.412,-454321.406,-457314.675,-2993.268,-0.618,-0.545,0.073,236.312,312.142,365.339,1.263,13.388,3.294,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
"2-Methyl-4,5-dihydro-3H-pyrrole ",N101,N-Nucleophile,Dichloromethane,13.120,0.690,-249.086,-250.766,-1.680,-0.389,-0.260,0.129,0.153,0.005,-0.148,0.118,0.128,0.009,0.542,0.265,-0.277,-0.118,-0.128,-0.009,0.013,0.031,0.018,2.820,2.609,-0.211,-156210.898,-157270.446,-1059.549,-156233.426,-157293.369,-1059.943,-0.568,-0.500,0.068,83.132,154.075,155.628,1.101,7.802,1.639,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
Serine (anionic),N102,N-Nucleophile,Water,13.160,0.550,-396.365,-398.612,-2.247,-0.366,-0.210,0.156,0.168,0.047,-0.121,0.099,0.082,-0.018,0.534,0.257,-0.277,-0.099,-0.082,0.018,0.009,0.013,0.004,9.875,8.983,-0.892,-248650.225,-250065.107,-1414.882,-248675.652,-250090.663,-1415.011,-0.876,-0.879,-0.003,104.085,143.513,141.559,1.093,7.885,1.869,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
Methionine (anionic),N103,N-Nucleophile,Water,13.160,0.580,-797.108,-800.237,-3.129,-0.337,-0.197,0.140,0.154,0.024,-0.130,0.092,0.087,-0.005,0.491,0.221,-0.270,-0.092,-0.087,0.005,0.009,0.017,0.008,14.456,13.983,-0.473,-500083.073,-502053.345,-1970.271,-500114.500,-502085.097,-1970.597,-0.874,-0.876,-0.002,148.203,202.370,215.656,1.164,11.338,2.731,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
4-(Dimethylamino)pyridine ,N104,N-Nucleophile,Water,13.190,0.560,-379.875,-382.363,-2.488,-0.311,-0.215,0.096,0.132,-0.014,-0.146,0.090,0.115,0.025,0.443,0.201,-0.242,-0.090,-0.115,-0.025,0.009,0.033,0.024,5.750,6.360,0.610,-238261.589,-239828.905,-1567.316,-238288.271,-239856.391,-1568.120,-0.614,-0.544,0.070,122.168,187.534,201.009,1.130,9.046,2.125,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
p-Toluidine ,N105,N-Nucleophile,MeCN,13.190,0.690,-324.853,-327.015,-2.162,-0.292,-0.205,0.087,0.129,-0.010,-0.139,0.082,0.108,0.026,0.421,0.195,-0.226,-0.082,-0.108,-0.026,0.008,0.030,0.022,1.577,1.806,0.229,-203747.435,-205109.256,-1361.821,-203771.080,-205135.296,-1364.216,-0.829,-0.794,0.035,107.153,177.153,184.326,1.131,9.228,2.026,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
Allylamine ,N106,N-Nucleophile,Water,13.210,0.540,-172.144,-173.306,-1.162,-0.369,-0.245,0.124,0.154,0.004,-0.150,0.108,0.121,0.013,0.523,0.249,-0.274,-0.108,-0.121,-0.013,0.011,0.029,0.018,1.942,1.901,-0.041,-107953.279,-108686.433,-733.154,-107974.086,-108707.488,-733.402,-0.852,-0.848,0.004,57.094,127.283,118.517,1.091,7.728,1.524,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
4-Acetamido-pyridine ,N107,N-Nucleophile,MeCN,13.240,0.670,-453.630,-456.430,-2.800,-0.355,-0.254,0.101,0.107,-0.043,-0.150,0.124,0.149,0.025,0.462,0.211,-0.251,-0.124,-0.149,-0.025,0.017,0.052,0.036,1.281,0.712,-0.569,-284555.009,-286317.985,-1762.976,-284582.265,-286345.602,-1763.337,-0.703,-0.611,0.092,136.151,189.067,199.874,1.144,9.777,2.391,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
Di(methoxyethyl)amine,N108,N-Nucleophile,MeCN,13.240,0.930,-440.187,-442.953,-2.766,-0.373,-0.234,0.139,0.159,0.043,-0.116,0.107,0.096,-0.012,0.532,0.277,-0.255,-0.107,-0.096,0.012,0.011,0.016,0.006,1.657,1.426,-0.231,-276070.166,-277815.350,-1745.184,-276100.889,-277846.567,-1745.678,-0.727,-0.693,0.034,133.189,225.052,238.245,1.211,11.583,2.792,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
Beta-alanine (anionic),N109,N-Nucleophile,Water,13.260,0.580,-321.483,-323.369,-1.886,-0.364,-0.200,0.164,0.169,0.052,-0.117,0.098,0.074,-0.024,0.533,0.252,-0.281,-0.098,-0.074,0.024,0.009,0.011,0.002,9.703,9.134,-0.569,-201665.163,-202852.894,-1187.731,-201689.058,-202877.463,-1188.405,-0.861,-0.859,0.002,88.085,138.423,132.753,1.100,8.412,1.901,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
Ethylenediamine ,N110,N-Nucleophile,Water,13.280,0.580,-189.336,-190.584,-1.248,-0.389,-0.240,0.149,0.163,0.045,-0.118,0.113,0.098,-0.016,0.552,0.285,-0.267,-0.113,-0.098,0.016,0.012,0.017,0.005,2.585,2.548,-0.037,-118732.161,-119519.899,-787.738,-118752.945,-119541.032,-788.087,-0.860,-0.856,0.004,60.098,128.054,120.811,1.084,7.725,1.566,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
n-Propylamine ,N111,N-Nucleophile,Water,13.330,0.560,-173.338,-174.545,-1.207,-0.391,-0.242,0.149,0.162,0.046,-0.116,0.115,0.098,-0.017,0.553,0.288,-0.265,-0.115,-0.098,0.017,0.012,0.017,0.005,1.694,1.659,-0.035,-108686.749,-109448.592,-761.842,-108708.130,-109470.243,-762.113,-0.858,-0.855,0.003,59.110,134.696,130.023,1.085,7.885,1.601,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
2-Phenylethylamine ,N112,N-Nucleophile,Water,13.400,0.570,-363.890,-366.327,-2.437,-0.330,-0.244,0.086,0.130,-0.013,-0.143,0.100,0.129,0.029,0.460,0.231,-0.229,-0.100,-0.129,-0.029,0.011,0.036,0.025,1.697,1.691,-0.006,-228222.229,-229758.655,-1536.425,-228249.006,-229785.907,-1536.901,-0.858,-0.854,0.004,121.180,199.231,212.710,1.156,10.554,2.384,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
4-Methoxyaniline ,N113,N-Nucleophile,MeCN,13.420,0.730,-399.715,-402.237,-2.522,-0.295,-0.207,0.088,0.125,-0.015,-0.140,0.085,0.111,0.026,0.420,0.192,-0.228,-0.085,-0.111,-0.026,0.009,0.032,0.023,1.533,2.177,0.644,-250719.759,-252308.617,-1588.858,-250746.320,-252336.331,-1590.011,-0.829,-0.793,0.036,123.152,188.666,196.809,1.153,10.312,2.223,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
"2,3-Dihydrobenzo[d]imidazo[2,1-b]thiazole",N114,N-Nucleophile,Dichloromethane,13.420,0.730,-851.997,-855.599,-3.602,-0.290,-0.204,0.086,0.116,-0.022,-0.138,0.087,0.113,0.026,0.406,0.182,-0.224,-0.087,-0.113,-0.026,0.009,0.035,0.026,4.728,4.217,-0.511,-534526.903,-536793.346,-2266.443,-534554.326,-536821.756,-2267.430,-0.651,-0.570,0.081,176.238,214.886,237.673,1.158,10.702,2.382,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
Benzylamine ,N115,N-Nucleophile,Water,13.440,0.550,-324.844,-327.002,-2.158,-0.331,-0.242,0.089,0.127,-0.012,-0.139,0.102,0.127,0.025,0.458,0.230,-0.228,-0.102,-0.127,-0.025,0.011,0.035,0.024,1.852,1.989,0.137,-203740.548,-205100.365,-1359.816,-203765.538,-205125.606,-1360.068,-0.850,-0.851,-0.001,107.153,177.020,184.402,1.130,9.522,2.033,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
Glutamine (anionic),N116,N-Nucleophile,Water,13.450,0.540,-528.371,-531.458,-3.087,-0.344,-0.196,0.148,0.164,0.023,-0.141,0.090,0.087,-0.004,0.508,0.219,-0.289,-0.090,-0.087,0.004,0.008,0.017,0.009,15.913,15.470,-0.443,-331449.265,-333392.837,-1943.572,-331480.745,-333424.426,-1943.681,-0.849,-0.878,-0.029,145.137,193.206,202.913,1.157,10.756,2.659,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
"(S)-2-Phenyl-3,4-dihydro-2H-benzo[4,5]thiazolo[3,2-a]pyrimidine",N117,N-Nucleophile,Dichloromethane,13.450,0.720,-1081.593,-1086.707,-5.114,-0.293,-0.208,0.085,0.115,-0.024,-0.139,0.089,0.116,0.027,0.408,0.184,-0.224,-0.089,-0.116,-0.027,0.010,0.037,0.027,4.710,4.173,-0.537,-678543.971,-681762.376,-3218.406,-678578.592,-681798.238,-3219.646,-0.659,-0.580,0.079,252.334,300.198,347.760,1.255,14.415,3.433,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
Hydrazine ,N118,N-Nucleophile,Water,13.460,0.570,-111.214,-111.905,-0.691,-0.357,-0.211,0.146,0.167,0.045,-0.122,0.095,0.083,-0.012,0.524,0.256,-0.268,-0.095,-0.083,0.012,0.009,0.013,0.005,0.000,0.000,0.000,-69749.888,-70185.470,-435.582,-69765.986,-70202.796,-436.811,-0.656,-0.672,-0.016,32.045,80.798,64.293,1.041,5.199,0.854,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
N-methyl-glycinenitrile ,N119,N-Nucleophile,Water,13.500,0.590,-226.040,-227.474,-1.434,-0.394,-0.249,0.145,0.151,0.009,-0.142,0.122,0.120,-0.002,0.545,0.258,-0.287,-0.122,-0.120,0.002,0.014,0.028,0.014,5.745,5.401,-0.344,-141776.859,-142680.660,-903.801,-141798.948,-142703.052,-904.104,-0.679,-0.653,0.026,70.093,133.509,124.995,1.105,8.256,1.804,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
Glycine (anionic),N120,N-Nucleophile,Water,13.510,0.580,-321.474,-323.362,-1.888,-0.353,-0.207,0.146,0.170,0.057,-0.113,0.092,0.075,-0.017,0.523,0.264,-0.259,-0.092,-0.075,0.017,0.008,0.011,0.003,9.382,8.287,-1.095,-201659.814,-202848.967,-1189.153,-201683.588,-202872.913,-1189.325,-0.710,-0.691,0.019,88.085,138.672,132.616,1.103,8.382,1.842,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
Gamma-aminobutyric acid (anionic),N121,N-Nucleophile,Water,13.550,0.560,-360.527,-362.693,-2.166,-0.363,-0.199,0.164,0.166,0.049,-0.117,0.099,0.075,-0.024,0.529,0.248,-0.281,-0.099,-0.075,0.024,0.009,0.011,0.002,12.847,12.136,-0.711,-226146.428,-227511.074,-1364.646,-226171.105,-227536.238,-1365.134,-0.858,-0.855,0.003,102.112,160.865,160.740,1.125,9.672,2.280,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
"1,1,3,3-Tetramethylguanidine",N122,N-Nucleophile,Dichloromethane,13.580,0.770,-360.323,-362.699,-2.376,-0.350,-0.226,0.124,0.151,0.032,-0.119,0.100,0.097,-0.003,0.501,0.258,-0.243,-0.100,-0.097,0.003,0.010,0.018,0.008,3.464,3.463,-0.001,-225973.520,-227472.618,-1499.098,-226001.472,-227501.221,-1499.748,-0.860,-0.801,0.059,115.177,192.177,207.787,1.133,8.866,1.969,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
Cyanate,N123,N-Nucleophile,MeCN,13.600,0.840,-167.346,-168.266,-0.920,-0.342,-0.203,0.139,0.339,0.159,-0.180,0.002,0.022,0.021,0.681,0.362,-0.319,-0.002,-0.022,-0.021,0.000,0.001,0.001,1.682,1.819,0.137,-105001.352,-105579.305,-577.953,-105016.884,-105594.929,-578.044,-0.912,-0.839,0.073,42.017,69.661,52.079,1.033,5.479,1.017,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
Valine (anionic),N124,N-Nucleophile,Water,13.650,0.570,-399.571,-402.021,-2.450,-0.340,-0.192,0.148,0.171,0.057,-0.114,0.085,0.068,-0.017,0.511,0.249,-0.262,-0.085,-0.068,0.017,0.007,0.009,0.002,8.460,7.598,-0.862,-250627.285,-252171.238,-1543.953,-250654.467,-252198.965,-1544.497,-0.866,-0.874,-0.008,116.138,172.954,184.960,1.102,7.867,1.975,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
4-Methylpyridine ,N125,N-Nucleophile,Dichloromethane,13.700,0.670,-285.803,-287.681,-1.878,-0.349,-0.265,0.084,0.118,-0.031,-0.149,0.116,0.148,0.033,0.467,0.234,-0.233,-0.116,-0.148,-0.033,0.014,0.047,0.033,3.417,3.396,-0.021,-179262.950,-180445.265,-1182.315,-179284.627,-180468.786,-1184.159,-0.552,-0.492,0.060,93.126,155.566,157.009,1.105,7.896,1.749,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
4-Methoxypyridine ,N126,N-Nucleophile,Dichloromethane,13.700,0.670,-360.665,-362.902,-2.237,-0.354,-0.270,0.084,0.120,-0.032,-0.152,0.117,0.151,0.034,0.474,0.238,-0.236,-0.117,-0.151,-0.034,0.014,0.048,0.033,3.264,3.200,-0.064,-226235.638,-227644.648,-1409.009,-226258.813,-227668.276,-1409.464,-0.556,-0.492,0.064,109.126,167.234,169.559,1.129,8.618,1.946,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
Isopropylamine ,N127,N-Nucleophile,MeCN,13.770,0.700,-173.341,-174.548,-1.207,-0.389,-0.243,0.146,0.155,0.039,-0.116,0.117,0.102,-0.015,0.544,0.282,-0.262,-0.117,-0.102,0.015,0.013,0.018,0.006,1.772,1.743,-0.029,-108689.109,-109451.287,-762.178,-108710.158,-109472.640,-762.482,-0.871,-0.867,0.004,59.110,132.370,129.187,1.071,6.728,1.407,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
Aspartate (dianionic),N128,N-Nucleophile,Water,13.810,0.530,-508.673,-511.523,-2.850,-0.343,-0.193,0.150,0.204,0.071,-0.133,0.070,0.061,-0.009,0.547,0.264,-0.283,-0.070,-0.061,0.009,0.004,0.007,0.003,2.454,1.824,-0.630,-319125.240,-320918.430,-1793.190,-319152.911,-320946.462,-1793.552,-0.894,-0.904,-0.010,131.087,157.876,160.147,1.107,8.647,2.226,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
